title,Drama,Comedy,Thriller,Action,Romance,Adventure,Crime,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,History,Music,War,Documentary,Western,Foreign,TV Movie
Executive Decision,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Popper's Penguins,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Forbidden Kingdom,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Free Birds,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Alien³,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Evita,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ronin,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ghost and the Darkness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paddington,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Watch,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hunted,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Instinct,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stuck on You,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semi-Pro,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pirates! In an Adventure with Scientists!,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Changeling,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Chain Reaction,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Fan,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Phantom of the Opera,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth: The Golden Age,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Æon Flux,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gods and Generals,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Turbulence,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Imagine That,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muppets Most Wanted,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Thunderbirds,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Burlesque,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Very Long Engagement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-Tox,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade II,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Seven Pounds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullet to the Head,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part III,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Elizabethtown,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You, Me and Dupree",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superman II,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Gigli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All the King's Men,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaft,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasia,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Moulin Rouge!,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Domestic Disturbance,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Black Mass,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flags of Our Fathers,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Law Abiding Citizen,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grindhouse,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beloved,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky You,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catch Me If You Can,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zero Dark Thirty,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Break-Up,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamma Mia!,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentine's Day,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dukes of Hazzard,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Thin Red Line,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Change-Up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man on the Moon,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casino,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
From Paris with Love,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulletproof Monk,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Me, Myself & Irene",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnyard,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Deck the Halls,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: New Moon,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shrek,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
The Adjustment Bureau,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Robin Hood: Prince of Thieves,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry Maguire,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
As Good as It Gets,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patch Adams,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorman 2: The Legend Continues,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Deeds,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super 8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Erin Brockovich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Lose a Guy in 10 Days,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22 Jump Street,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview with the Vampire,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes Man,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Intelligence,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stepmom,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daddy's Home,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Into the Woods,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Inside Man,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Payback,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
We Bought a Zoo,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Knowing,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Failure to Launch,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ring Two,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Crazy, Stupid, Love.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Christmas with the Kranks,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Moneyball,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outbreak,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Non-Stop,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Race to Witch Mountain,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
V for Vendetta,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shanghai Knights,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Curious George,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Herbie Fully Loaded,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Don't Say a Word,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hansel & Gretel: Witch Hunters,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Unfaithful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Am Number Four,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Syriana,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Hours: The Secret Soldiers of Benghazi,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Book of Life,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Firewall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absolute Power,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G.I. Jane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Game,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Silent Hill,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Replacements,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Reunion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Negotiator,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Into the Storm,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Hills Cop III,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gremlins 2: The New Batch,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Judge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Peacemaker,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Evil: Apocalypse,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bridget Jones: The Edge of Reason,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of Time,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
On Deadly Ground,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Adventures of Sharkboy and Lavagirl,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Beach,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raising Helen,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninja Assassin,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
For Love of the Game,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striptease,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmaduke,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hereafter,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Murder by Numbers,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassins,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal Rising,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Story of Us,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Host,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Basic,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Blood Work,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The International,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Escape from L.A.,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Iron Giant,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
The Life Aquatic with Steve Zissou,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free State of Jones,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Life of David Gale,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Man of the House,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Run All Night,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Eastern Promises,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Into the Blue,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Messenger: The Story of Joan of Arc,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Your Highness,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream House,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mad City,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby's Day Out,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Scarlet Letter,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fair Game,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jade,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gamer,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful Creatures,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Death to Smoochy,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoolander 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Bounce,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
What Planet Are You From?,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drive Angry,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Street Fighter: The Legend of Chun-Li,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The One,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Adventures of Ford Fairlane,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Boat That Rocked,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traffic,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones and the Last Crusade,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Karenina,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chappie,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bone Collector,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Panic Room,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tooth Fairy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Kings,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child 44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat Race,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-PAX,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kate & Leopold,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bedazzled,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Cotton Club,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3:10 to Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taken 3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of Sight,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cable Guy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Tracy,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Thomas Crown Affair,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riding in Cars with Boys,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Blood,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Solaris,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Happily N'Ever After,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Mary Reilly,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Best Friend's Wedding,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America's Sweethearts,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insomnia,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Star Trek: First Contact,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jonah Hex,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Courage Under Fire,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Liar Liar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Infiltrator,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Inchon,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Flintstones,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Taken 2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scary Movie 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miss Congeniality,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Journey to the Center of the Earth,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Princess Diaries 2: Royal Engagement,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Pelican Brief,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Client,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Bucket List,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patriot Games,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster-in-Law,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prisoners,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Training Day,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Galaxy Quest,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Scary Movie 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muppets,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Blade,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coach Carter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changing Lanes,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaconda,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coyote Ugly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Actually,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Bug's Life,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
From Hell,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Specialist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tin Cup,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yours, Mine and Ours",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kicking & Screaming,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hitchhiker's Guide to the Galaxy,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Fat Albert,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Resident Evil: Extinction,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Blended,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Holiday,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The River Wild,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Indian in the Cupboard,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Savages,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellular,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny English,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ant Bully,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Dune,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Across the Universe,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Revolutionary Road,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 Blocks,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Babylon A.D.,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Glimmer Man,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiplicity,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Aliens in the Attic,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
The Pledge,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Producers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Phantom,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All the Pretty Horses,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nixon,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Ghost Writer,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deep Rising,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Miracle at St. Anna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Curse of the Golden Flower,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bangkok Dangerous,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Trouble,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love in the Time of Cholera,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shadow Conspiracy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny English Reborn,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Foodfight!,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Argo,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fugitive,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Bounty Hunter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepers,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rambo: First Blood Part II,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Juror,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinocchio,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Heaven's Gate,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Underworld: Evolution,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Victor Frankenstein,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Finding Forrester,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 Days,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unleashed,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sweetest Thing,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Firm,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charlie St. Cloud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mechanic,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21 Jump Street,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Notting Hill,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Run,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
